route,origin,destination,distance_km,rail_time_mins,air_time_mins,rail_fare_eur,air_fare_eur,cheap_flight,bus_included,info,air_co2_kg,rail_co2_kg,rail_co2_kg_efficient,air_time_hrs,rail_time_hrs,distance_category,distance_label,time_gap,price_gap
Rome-Milan,Rome,Milan,477.97,190,70,40,53,1,null,null,81.73287,16.72895,2.3898500000000005,1.1666666666666667,3.1666666666666665,250-500,2,1.9999999999999998,-13
Cologne-London,Cologne,London,497.22,318,80,124,39,0,null,null,85.02462000000001,17.4027,2.4861000000000004,1.3333333333333333,5.3,250-500,2,3.966666666666667,85
Lisbon-Madrid,Lisbon,Madrid,503.11,762,75,83,36,1,null,null,86.03181,17.608850000000004,2.51555,1.25,12.7,500-750,3,11.45,47
Sofia-Istanbul,Sofia,Istanbul,503.77,740,75,44,69,1,null,null,86.14467,17.63195,2.51885,1.25,12.333333333333334,500-750,3,11.083333333333334,-25
Berlin-Munich,Berlin,Munich,504.5,268,70,38,96,0,null,null,86.2695,17.6575,2.5225,1.1666666666666667,4.466666666666667,500-750,3,3.3,-58
Madrid-Barcelona,Madrid,Barcelona,504.93,400,75,25,69,0,null,null,86.34303,17.672549999999998,2.5246500000000003,1.25,6.666666666666667,500-750,3,5.416666666666667,-44
Berlin-Warsaw,Berlin,Warsaw,516.42,316,70,36,202,0,null,null,88.30781999999999,18.074699999999996,2.5821,1.1666666666666667,5.266666666666667,500-750,3,4.1,-166
Stockholm-Copenhagen,Stockholm,Copenhagen,522.27,361,70,88,77,0,null,null,89.30817,18.27945,2.61135,1.1666666666666667,6.016666666666667,500-750,3,4.85,11
Vienna-Berlin,Vienna,Berlin,523.58,535,70,59,241,0,null,null,89.53218000000001,18.325300000000002,2.6179,1.1666666666666667,8.916666666666666,500-750,3,7.749999999999999,-182
Edinburgh-London,Edinburgh,London,534.11,267,85,160,78,0,null,null,91.33281,18.69385,2.67055,1.4166666666666667,4.45,500-750,3,3.033333333333333,82
Rome-Catania,Rome,Catania,535.95,583,80,41,35,1,null,null,91.64745,18.75825,2.67975,1.3333333333333333,9.716666666666667,500-750,3,8.383333333333333,6
Vienna-Zurich,Vienna,Zurich,592.45,540,80,53,387,0,null,null,101.30895000000001,20.73575,2.96225,1.3333333333333333,9,500-750,3,7.666666666666667,-334
Budapest-Bucharest,Budapest,Bucharest,642.93,867,105,40,112,0,null,null,109.94102999999998,22.50255,3.21465,1.75,14.45,500-750,3,12.7,-72
Paris-Nice,Paris,Nice,686.01,350,95,121,52,1,null,null,117.30770999999999,24.01035,3.43005,1.5833333333333333,5.833333333333333,500-750,3,4.25,69
Munich-Rome,Munich,Rome,698.5,583,100,70,50,1,null,null,119.4435,24.4475,3.4925,1.6666666666666667,9.716666666666667,500-750,3,8.05,20
Athens-Bucharest,Athens,Bucharest,745.02,888,80,67,104,0,1,null,127.39842,26.0757,3.7251,1.3333333333333333,14.8,500-750,3,13.466666666666667,-37
Belgrade-Warsow,Belgrade,Warsaw,826.04,915,95,40,98,0,null,null,141.25284,28.911399999999997,4.130199999999999,1.5833333333333333,15.25,750-1000,4,13.666666666666666,-58
Paris-Barcelona,Paris,Barcelona,830.63,589,115,184,111,0,null,null,142.03773,29.07205,4.153149999999999,1.9166666666666667,9.816666666666666,750-1000,4,7.8999999999999995,73
Zurich-Barcelona,Zurich,Barcelona,835.12,870,110,355,149,1,null,null,142.80552,29.229200000000002,4.1756,1.8333333333333333,14.5,750-1000,4,12.666666666666666,206
Munich-Barcelona,Munich,Barcelona,1054.7,1350,130,75,114,0,null,null,180.3537,36.9145,5.2735,2.1666666666666665,22.5,1000-1250,4,20.333333333333332,-39
Rome-Paris,Rome,Paris,1106.27,600,130,150,124,0,null,null,189.17217,38.719449999999995,5.531350000000001,2.1666666666666665,10,1000-1250,4,7.833333333333334,26
Paris-Warsaw,Paris,Warsaw,1366.47,944,140,310,172,0,null,null,233.66637,47.82645,6.83235,2.3333333333333335,15.733333333333333,1250-1500,4,13.399999999999999,138
Lisbon-Berlin,Lisbon,Berlin,2313.77,2400,205,143,75,1,null,null,395.65467,80.98195,11.568850000000001,3.4166666666666665,40,2000+,4,36.583333333333336,68
